area_id,date,time_slice,passers_by,unique_passers_by
R019C004,2026-09-21,"[03:00,04:00)",272,139
R003C011,2026-09-21,"[21:00,22:00)",4900,3779
R009C012,2026-09-21,"[17:00,18:00)",82313,71127
R011C015,2026-09-21,"[15:00,16:00)",36690,27587
R017C003,2026-09-21,"[08:00,09:00)",368,368
R010C002,2026-09-21,"[07:00,08:00)",48459,42958
R019C003,2026-09-21,"[21:00,22:00)",323,300
R010C003,2026-09-21,"[12:00,13:00)",39754,28273
R004C007,2026-09-21,"[04:00,05:00)",1134,871
R006C006,2026-09-21,"[09:00,10:00)",10946,8578
R012C008,2026-09-21,"[20:00,21:00)",22072,17827
R005C009,2026-09-21,"[13:00,14:00)",5381,3953
R011C005,2026-09-21,"[11:00,12:00)",37281,25143
R012C003,2026-09-21,"[06:00,07:00)",11583,8881
R003C019,2026-09-21,"[10:00,11:00)",3279,3268
R023C007,2026-09-21,"[12:00,13:00)",2106,1382
R021C009,2026-09-21,"[19:00,20:00)",13036,10406
R017C009,2026-09-21,"[08:00,09:00)",5918,4685
R020C008,2026-09-21,"[04:00,05:00)",1098,623
R013C005,2026-09-21,"[23:00,00:00)",940,774
R016C010,2026-09-21,"[23:00,00:00)",4557,3372
R014C019,2026-09-21,"[05:00,06:00)",427,324
R001C019,2026-09-21,"[17:00,18:00)",30714,24722
R013C022,2026-09-21,"[08:00,09:00)",7340,6343
R013C009,2026-09-21,"[11:00,12:00)",31969,22700
R006C010,2026-09-21,"[06:00,07:00)",9132,7969
R008C011,2026-09-21,"[22:00,23:00)",4675,4237
R018C016,2026-09-21,"[08:00,09:00)",2632,2249
R019C010,2026-09-21,"[23:00,00:00)",2756,2098
R018C000,2026-09-21,"[20:00,21:00)",86,62
R018C008,2026-09-21,"[05:00,06:00)",445,318
R008C006,2026-09-21,"[04:00,05:00)",3945,3146
R015C011,2026-09-21,"[19:00,20:00)",14081,11446
R022C009,2026-09-21,"[16:00,17:00)",11998,9195
R017C007,2026-09-21,"[23:00,00:00)",670,546
R005C006,2026-09-21,"[16:00,17:00)",17910,12823
R007C013,2026-09-21,"[07:00,08:00)",71728,61399
R003C011,2026-09-21,"[08:00,09:00)",14191,11448
R013C015,2026-09-21,"[20:00,21:00)",8585,7851
R007C010,2026-09-21,"[21:00,22:00)",9729,7856
R007C014,2026-09-21,"[09:00,10:00)",39533,31041
R012C012,2026-09-21,"[23:00,00:00)",9821,8145
R003C013,2026-09-21,"[17:00,18:00)",22774,20103
R022C010,2026-09-21,"[23:00,00:00)",359,347
R025C010,2026-09-21,"[11:00,12:00)",1880,1343
R010C004,2026-09-21,"[10:00,11:00)",21907,15271
R012C010,2026-09-21,"[04:00,05:00)",5559,3742
R016C019,2026-09-21,"[06:00,07:00)",13463,12023
R015C010,2026-09-21,"[07:00,08:00)",33100,26038
R018C011,2026-09-21,"[17:00,18:00)",10914,9838
R010C013,2026-09-21,"[15:00,16:00)",48689,38820
R009C014,2026-09-21,"[03:00,04:00)",4027,2959
R005C008,2026-09-21,"[21:00,22:00)",10516,8214
R008C011,2026-09-21,"[14:00,15:00)",17887,16716
R016C014,2026-09-21,"[09:00,10:00)",964,918
R017C013,2026-09-21,"[11:00,12:00)",5537,3863
R012C010,2026-09-21,"[12:00,13:00)",143149,95561
